ANO,Mes,Dia,Dia Juliano,Hora,Calor sensível,velo_atrito,velo_convectiva,Gradiente temp,Altura mistura convecção,Altura mistura mec ,Monin-Obukhov,Comp_rug_sup,razão de Bowen,Albedo ,Velo_vento,Dir_vento,Alt_anemômetro,Temperatura,Alt_medição,cod_prec,Quant_prec,humidade relativa,pressao,cobertura de nuvens,ajuste,interpolacao
23,1,1,1,18,45.7,0.436,-9,-9,-999,749,-163.6,0.2549,0.39,0.22,4.1,37,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,19,4.3,0.534,-9,-9,-999,936,-3224,0.3022,0.39,0.4,5.1,74,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,20,-56.4,0.558,-9,-9,-999,999,276.8,0.3022,0.39,1,5.7,77,14,300.1,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,1,1,21,-43.7,0.432,-9,-9,-999,696,166.4,0.3022,0.39,1,4.6,70,14,300.1,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,1,1,22,-37.8,0.372,-9,-9,-999,548,123,0.3022,0.39,1,4.1,62,14,299.1,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,1,1,23,-11.3,0.13,-9,-9,-999,192,17.4,0.2549,0.39,1,2.6,10,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,1,1,24,-20.8,0.239,-9,-9,-999,280,58.9,0.2549,0.39,1,3.1,30,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,1,-20.8,0.239,-9,-9,-999,280,58.9,0.2549,0.39,1,3.1,16,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,2,-31.6,0.363,-9,-9,-999,524,136,0.2549,0.39,1,4.1,22,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,3,-31.6,0.363,-9,-9,-999,524,136,0.2549,0.39,1,4.1,2,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,2,2,4,-34.4,0.395,-9,-9,-999,596,161.5,0.2055,0.39,1,4.6,360,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,5,-41.3,0.474,-9,-9,-999,781,231.7,0.2549,0.39,1,5.1,6,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,6,-34.6,0.395,-9,-9,-999,601,160.8,0.2055,0.39,1,4.6,357,14,298.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,2,2,7,12.6,0.553,0.43,0.005,227,986,-1206.5,0.3348,0.39,0.34,5.1,249,14,298.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,2,2,8,49.8,0.374,0.854,0.005,451,577,-94.3,0.2055,0.39,0.2,3.6,326,14,298.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,2,2,9,93.2,0.475,1.217,0.005,698,784,-103.4,0.2055,0.39,0.16,4.6,330,14,298.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,2,2,10,125.7,0.591,1.486,0.005,942,1090,-148.2,0.3412,0.39,0.15,5.1,311,14,298.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,2,2,11,149.7,0.627,1.697,0.005,1178,1190,-148.4,0.2055,0.39,0.15,6.2,345,14,300.1,2,0,0,79,1010,1,NAD-SFC,NoSubs
23,1,2,2,12,164.8,0.674,1.851,0.011,1389,1325,-167.2,0.2055,0.39,0.15,6.7,351,14,300.1,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,2,2,13,168.1,0.674,1.937,0.013,1560,1329,-164.3,0.2055,0.39,0.15,6.7,349,14,301.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,2,2,14,162.7,0.673,1.962,0.012,1675,1326,-169,0.2055,0.39,0.15,6.7,357,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,15,146.3,0.671,1.93,0.012,1773,1318,-185.6,0.2055,0.39,0.15,6.7,360,14,303.1,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,2,2,16,119.5,0.841,1.809,0.007,1786,1846,-448.3,0.2549,0.39,0.15,8.2,14,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,17,84.6,0.835,1.613,0.007,1790,1833,-620.5,0.2549,0.39,0.16,8.2,8,14,301.1,2,0,0,74,1010,1,NAD-SFC,NoSubs
23,1,2,2,18,43.9,0.828,1.298,0.01,1793,1809,-1163.6,0.2549,0.39,0.22,8.2,21,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,19,1.9,0.769,0.459,0.011,1793,1628,-8888,0.2549,0.39,0.4,7.7,2,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,20,-64,0.747,-9,-9,-999,1551,585.6,0.2549,0.39,1,7.7,25,14,301.1,2,0,0,74,1010,1,NAD-SFC,NoSubs
23,1,2,2,21,-64,0.693,-9,-9,-999,1391,468.5,0.2549,0.39,1,7.2,14,14,301.1,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,2,2,22,-35.9,0.354,-9,-9,-999,647,111,0.2549,0.39,1,4.1,15,14,299.1,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,2,2,23,-61.3,0.604,-9,-9,-999,1126,323.6,0.2055,0.39,1,6.7,357,14,299.1,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,2,2,24,-57.3,0.658,-9,-9,-999,1278,447.2,0.2055,0.39,1,7.2,358,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,3,3,1,-53,0.608,-9,-9,-999,1144,382.6,0.2055,0.39,1,6.7,360,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,2,-48.7,0.559,-9,-9,-999,1007,322.6,0.2055,0.39,1,6.2,356,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,3,-44.3,0.509,-9,-9,-999,874,267.3,0.2055,0.39,1,5.7,354,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,4,-44.3,0.509,-9,-9,-999,870,267.3,0.2055,0.39,1,5.7,340,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,5,-44.3,0.509,-9,-9,-999,870,267.3,0.2055,0.39,1,5.7,337,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,6,-39.3,0.388,-9,-9,-999,591,133.3,0.2055,0.39,1,4.6,339,14,299.1,2,0,0,89,1010,3,NAD-SFC,NoSubs
23,1,3,3,7,9.1,0.396,0.522,0.007,566,598,-617.4,0.2055,0.39,0.34,4.1,336,14,299.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,8,51.9,0.418,0.973,0.007,640,649,-126.9,0.2055,0.39,0.2,4.1,319,14,299.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,9,91.8,0.345,1.24,0.007,748,490,-40.3,0.2055,0.39,0.16,3.1,318,14,299.1,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,3,3,10,124.8,0.415,1.427,0.008,839,642,-51.8,0.2549,0.39,0.15,3.6,4,14,299.1,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,3,3,11,149.5,0.242,1.573,0.009,938,310,-8.6,0.3412,0.39,0.15,1.5,302,14,300.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,12,164.2,0.241,1.677,0.01,1036,284,-7.7,0.3178,0.39,0.15,1.5,198,14,300.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,13,168.5,0.608,1.741,0.01,1130,1137,-120,0.2405,0.39,0.15,5.7,151,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,3,3,14,162.9,0.836,1.761,0.005,1210,1832,-323.4,0.2405,0.39,0.15,8.2,142,14,301.1,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,3,3,15,145.6,0.842,1.727,0.005,1275,1853,-368.8,0.3178,0.39,0.15,7.7,187,14,299.1,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,3,3,16,107.4,0.591,1.579,0.008,1322,1167,-173,0.4933,0.39,0.15,4.6,110,14,298.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,17,77.7,0.728,1.424,0.005,1341,1486,-446.6,0.2405,0.39,0.16,7.2,139,14,299.1,2,0,0,70,1010,6,NAD-SFC,NoSubs
23,1,3,3,18,45,0.817,1.19,0.005,1349,1766,-1089.6,0.2405,0.39,0.22,8.2,151,14,299.1,2,0,0,54,1010,3,NAD-SFC,NoSubs
23,1,3,3,19,5.2,0.759,0.581,0.005,1349,1596,-7526.6,0.2405,0.39,0.4,7.7,137,14,298.1,2,0,0,65,1010,6,NAD-SFC,NoSubs
23,1,3,3,20,-64,0.735,-9,-9,-999,1516,559.2,0.2405,0.39,1,7.7,148,14,298.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,3,3,21,-36.2,0.412,-9,-9,-999,759,174.3,0.2405,0.39,1,4.6,157,14,297.1,2,0,0,74,1010,6,NAD-SFC,NoSubs
23,1,3,3,22,-36.3,0.412,-9,-9,-999,637,173.5,0.2405,0.39,1,4.6,149,14,296.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,3,3,23,-39.2,0.446,-9,-9,-999,713,203,0.3178,0.39,1,4.6,181,14,296.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,24,-31.5,0.356,-9,-9,-999,516,129.3,0.2405,0.39,1,4.1,177,14,295.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,4,4,1,-39.3,0.445,-9,-9,-999,713,202.2,0.3178,0.39,1,4.6,186,14,295.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,4,4,2,-50.2,0.571,-9,-9,-999,1034,333.1,0.3178,0.39,1,5.7,186,14,296.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,4,4,3,-31.4,0.356,-9,-9,-999,554,129.9,0.2405,0.39,1,4.1,178,14,296.1,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,4,-34,0.386,-9,-9,-999,576,152.8,0.3178,0.39,1,4.1,189,14,296.1,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,5,-39.2,0.446,-9,-9,-999,713,203,0.3178,0.39,1,4.6,191,14,296.1,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,6,-34.1,0.386,-9,-9,-999,579,152.1,0.3178,0.39,1,4.1,202,14,295.1,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,7,9.8,0.441,0.354,0.007,164,702,-789.5,0.3178,0.39,0.34,4.1,206,14,295.1,2,0,0,78,1010,3,NAD-SFC,NoSubs
23,1,4,4,8,52.4,0.343,0.852,0.005,425,489,-69.3,0.2405,0.39,0.2,3.1,158,14,296.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,4,4,9,91.9,0.37,1.196,0.006,670,541,-49.7,0.4933,0.39,0.16,2.6,126,14,296.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,4,4,10,124.2,0.293,1.431,0.009,850,385,-18.3,0.3178,0.39,0.15,2.1,197,14,295.1,2,0,0,73,1010,2,NAD-SFC,Sub_CC
23,1,4,4,11,147.7,0.399,1.601,0.01,1003,605,-38.8,0.3348,0.39,0.15,3.1,227,14,295.1,2,0,0,78,1010,1,NAD-SFC,NoSubs
23,1,4,4,12,145.6,0.489,1.64,0.012,1093,820,-72.4,0.3178,0.39,0.15,4.1,193,14,295.1,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,13,148.6,0.586,1.673,0.011,1136,1075,-121.9,0.3178,0.39,0.15,5.1,205,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,14,143.8,0.692,1.673,0.007,1176,1380,-207.8,0.3178,0.39,0.15,6.2,212,14,295.1,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,15,96.6,0.429,1.476,0.01,1201,749,-73.5,0.3178,0.39,0.15,3.6,201,14,294.1,2,0,0,83,1010,8,NAD-SFC,NoSubs
23,1,4,4,16,106.9,0.337,1.539,0.009,1231,480,-32.2,0.3178,0.39,0.15,2.6,180,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,17,57.8,0.301,1.26,0.009,1246,397,-42.5,0.2405,0.39,0.16,2.6,173,14,296.1,2,0,0,73,1010,8,NAD-SFC,NoSubs
23,1,4,4,18,41.3,0.249,1.129,0.009,1257,300,-33.7,0.2405,0.39,0.22,2.1,169,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,19,4.7,0.078,0.549,0.009,1258,90,-8.9,0.3113,0.39,0.39,0.5,999,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,20,-4.2,0.08,-9,-9,-999,55,11.1,0.3348,0.39,1,1.5,229,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,21,-0.4,0.026,-9,-9,-999,12,4,0.3113,0.39,1,0.5,999,14,296.1,2,0,0,73,1010,8,NAD-SFC,NoSubs
23,1,4,4,22,-4.1,0.079,-9,-9,-999,54,10.9,0.3178,0.39,1,1.5,199,14,295.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,4,4,23,-4.4,0.079,-9,-9,-999,54,10.1,0.3178,0.39,1,1.5,222,14,295.1,2,0,0,83,1010,3,NAD-SFC,NoSubs
23,1,4,4,24,-4.4,0.079,-9,-9,-999,54,10.1,0.3178,0.39,1,1.5,218,14,295.1,2,0,0,83,1010,3,NAD-SFC,NoSubs
23,1,5,5,1,-28.7,0.325,-9,-9,-999,444,107.4,0.3178,0.39,1,3.6,205,14,295.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,5,5,2,-32.2,0.313,-9,-9,-999,420,85.7,0.3178,0.39,1,3.6,204,14,295.1,2,0,0,88,1010,3,NAD-SFC,NoSubs
23,1,5,5,3,-40.2,0.374,-9,-9,-999,549,117.3,0.3178,0.39,1,4.1,197,14,294.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,5,5,4,-25,0.233,-9,-9,-999,283,45.3,0.3178,0.39,1,3.1,220,14,294.1,2,0,0,88,1010,1,NAD-SFC,NoSubs
23,1,5,5,5,-25,0.233,-9,-9,-999,269,45.3,0.3178,0.39,1,3.1,212,14,294.1,2,0,0,88,1010,1,NAD-SFC,NoSubs
23,1,5,5,6,-999,-9,-9,-9,-999,-999,-99999,0.3178,0.39,1,3.6,215,14,294.1,2,0,0,88,1010,99,NAD-SFC,NoSubs
23,1,5,5,7,-999,-9,-9,-9,-999,-999,-99999,0.3178,0.39,0.34,2.6,222,14,293.1,2,0,0,88,1010,99,NAD-SFC,NoSubs
23,1,5,5,8,-999,-9,-9,-9,-999,-999,-99999,0.3348,0.39,0.2,1.5,255,14,292.1,2,0,0,94,1010,99,NAD-SFC,NoSubs
23,1,5,5,9,-999,-9,-9,-9,-999,-999,-99999,0.3348,0.39,0.16,3.1,259,14,292.1,2,0,0,94,1010,99,NAD-SFC,NoSubs
23,1,5,5,10,-999,-9,-9,-9,-999,-999,-99999,0.3348,0.39,0.15,2.1,268,14,294.1,2,0,0,83,1010,99,NAD-SFC,NoSubs
23,1,5,5,11,-999,-9,-9,-9,-999,-999,-99999,0.3348,0.39,0.15,3.1,238,14,296.1,2,0,0,73,1010,99,NAD-SFC,NoSubs
23,1,5,5,12,-999,-9,-9,-9,-999,-999,-99999,0.3348,0.39,0.15,3.6,249,14,297.1,2,0,0,74,1010,99,NAD-SFC,NoSubs
23,1,5,5,13,167,0.55,-9,-9,-999,980,-90,0.4933,0.39,0.15,4.1,128,14,298.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,5,5,14,161.7,0.463,-9,-9,-999,763,-55.2,0.2405,0.39,0.15,4.1,140,14,299.1,2,0,0,65,1010,1,NAD-SFC,NoSubs
23,1,5,5,15,145.5,0.504,-9,-9,-999,857,-79.2,0.2405,0.39,0.15,4.6,135,14,300.1,2,0,0,58,1010,1,NAD-SFC,NoSubs
23,1,5,5,16,119.3,0.715,-9,-9,-999,1451,-276.4,0.4933,0.39,0.15,5.7,118,14,300.1,2,0,0,54,1010,1,NAD-SFC,NoSubs
23,1,5,5,17,84.5,0.821,-9,-9,-999,1780,-590.1,0.4933,0.39,0.16,6.7,119,14,299.1,2,0,0,58,1010,1,NAD-SFC,NoSubs
23,1,5,5,18,43.8,0.871,-9,-9,-999,1945,-1357.6,0.4933,0.39,0.21,7.2,116,14,300.1,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,5,5,19,1.3,0.861,-9,-9,-999,1919,-8888,0.4933,0.39,0.39,7.2,117,14,299.1,2,0,0,65,1010,1,NAD-SFC,NoSubs
23,1,5,5,20,-64,0.776,-9,-9,-999,1657,658.5,0.4933,0.39,1,6.7,127,14,298.1,2,0,0,69,1010,1,NAD-SFC,NoSubs
23,1,5,5,21,-64,0.712,-9,-9,-999,1451,507.7,0.4933,0.39,1,6.2,122,14,298.1,2,0,0,65,1010,1,NAD-SFC,NoSubs
23,1,5,5,22,-46.1,0.433,-9,-9,-999,774,158.7,0.4933,0.39,1,4.1,130,14,297.1,2,0,0,69,1010,1,NAD-SFC,NoSubs
23,1,5,5,23,-22,0.206,-9,-9,-999,305,35.7,0.2405,0.39,1,3.1,148,14,296.1,2,0,0,78,1010,1,NAD-SFC,NoSubs
23,1,5,5,24,-12.2,0.128,-9,-9,-999,119,15.4,0.2405,0.39,1,2.6,162,14,296.1,2,0,0,73,1010,1,NAD-SFC,NoSubs
23,1,6,6,1,-8.7,0.111,-9,-9,-999,89,14.1,0.3178,0.39,1,2.1,186,14,294.1,2,0,0,88,1010,3,NAD-SFC,NoSubs
23,1,6,6,2,-13.7,0.137,-9,-9,-999,122,17.1,0.3178,0.39,1,2.6,213,14,294.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,6,6,3,-4.5,0.079,-9,-9,-999,54,9.9,0.3178,0.39,1,1.5,205,14,294.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,6,6,4,-9.2,0.113,-9,-9,-999,91,14.2,0.3412,0.39,1,2.1,283,14,293.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,6,6,5,-999,-9,-9,-9,-999,-999,-99999,0.3412,0.39,1,2.1,272,14,293.1,2,0,0,88,1010,99,NAD-SFC,NoSubs
23,1,6,6,6,-999,-9,-9,-9,-999,-999,-99999,0.3348,0.39,1,2.1,266,14,293.1,2,0,0,94,1010,99,NAD-SFC,NoSubs
23,1,6,6,7,-999,-9,-9,-9,-999,-999,-99999,0.3348,0.39,0.35,1.5,248,14,292.1,2,0,0,100,1010,99,NAD-SFC,NoSubs
23,1,6,6,8,-999,-9,-9,-9,-999,-999,-99999,0.3348,0.39,0.2,2.6,262,14,292.1,2,0,0,100,1010,99,NAD-SFC,NoSubs
23,1,6,6,9,-999,-9,-9,-9,-999,-999,-99999,0.3348,0.39,0.16,1.5,268,14,292.1,2,0,0,100,1010,99,NAD-SFC,NoSubs
23,1,6,6,10,122.4,0.297,-9,-9,-999,388,-19.2,0.3348,0.39,0.15,2.1,268,14,294.1,2,0,0,83,1010,1,NAD-SFC,NoSubs
23,1,6,6,11,148,0.302,-9,-9,-999,398,-16.8,0.3348,0.39,0.15,2.1,265,14,295.1,2,0,0,83,1010,3,NAD-SFC,NoSubs
23,1,6,6,12,163.7,0.541,-9,-9,-999,954,-87,0.3178,0.39,0.15,4.6,186,14,298.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,13,149.2,0.695,-9,-9,-999,1389,-202.7,0.2405,0.39,0.15,6.7,141,14,298.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,6,6,14,145.2,0.694,-9,-9,-999,1389,-207.7,0.2405,0.39,0.15,6.7,135,14,299.1,2,0,0,70,1010,6,NAD-SFC,NoSubs
23,1,6,6,15,145.9,0.889,-9,-9,-999,2006,-433.9,0.4933,0.39,0.15,7.2,132,14,299.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,16,120.1,0.942,-9,-9,-999,2189,-627.4,0.4933,0.39,0.15,7.7,132,14,299.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,6,6,17,86.1,0.937,-9,-9,-999,2177,-859.8,0.4933,0.39,0.16,7.7,132,14,299.1,2,0,0,58,1010,3,NAD-SFC,NoSubs
23,1,6,6,18,45.9,0.626,-9,-9,-999,1313,-480.2,0.2405,0.39,0.21,6.2,145,14,300.1,2,0,0,58,1010,3,NAD-SFC,NoSubs
23,1,6,6,19,3.5,0.981,-9,-9,-999,2327,-8888,0.4933,0.39,0.39,8.2,128,14,298.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,20,-64,0.735,-9,-9,-999,1597,559.2,0.2405,0.39,1,7.7,141,14,299.1,2,0,0,58,1010,3,NAD-SFC,NoSubs
23,1,6,6,21,-64,0.902,-9,-9,-999,2049,1033.8,0.4933,0.39,1,7.7,132,14,298.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,6,6,22,-58.9,0.576,-9,-9,-999,1182,292.7,0.2405,0.39,1,6.2,136,14,297.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,23,-36.8,0.344,-9,-9,-999,570,99.9,0.2405,0.39,1,4.1,142,14,296.1,2,0,0,69,1010,1,NAD-SFC,NoSubs
23,1,6,6,24,-12,0.128,-9,-9,-999,201,15.7,0.2405,0.39,1,2.6,136,14,296.1,2,0,0,69,1010,3,NAD-SFC,NoSubs
23,1,7,7,1,-51.7,0.502,-9,-9,-999,855,221,0.4933,0.39,1,4.6,128,14,295.1,2,0,0,78,1010,3,NAD-SFC,NoSubs
23,1,7,7,2,-36.3,0.345,-9,-9,-999,507,102,0.2405,0.39,1,4.1,143,14,296.1,2,0,0,73,1010,2,NAD-SFC,Sub_CC
23,1,7,7,3,-12.2,0.128,-9,-9,-999,174,15.5,0.2405,0.39,1,2.6,140,14,295.1,2,0,0,78,1010,2,NAD-SFC,Sub_CC
23,1,7,7,4,-22,0.205,-9,-9,-999,223,35.4,0.2405,0.39,1,3.1,165,14,295.1,2,0,0,73,1010,1,NAD-SFC,NoSubs
23,1,7,7,5,-8,0.103,-9,-9,-999,85,12.4,0.2405,0.39,1,2.1,143,14,295.1,2,0,0,73,1010,1,NAD-SFC,NoSubs
23,1,7,7,6,-2,0.053,-9,-9,-999,30,6.6,0.3178,0.39,1,1,216,14,292.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,7,7,7,5.3,0.234,0.233,0.005,86,272,-219,0.3178,0.39,0.35,2.1,209,14,292.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,7,7,8,50,0.212,1.047,0.005,827,234,-17,0.3178,0.39,0.2,1.5,214,14,292.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,7,7,9,88.6,0.284,1.341,0.005,982,363,-23.2,0.3178,0.39,0.16,2.1,220,14,293.1,2,0,0,88,1010,1,NAD-SFC,NoSubs
23,1,7,7,10,110.6,0.338,1.517,0.005,1140,471,-31.4,0.3178,0.39,0.15,2.6,184,14,294.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,7,7,11,98.6,0.448,1.511,0.005,1262,719,-82.1,0.2405,0.39,0.15,4.1,143,14,293.1,2,0,0,100,1010,8,NAD-SFC,NoSubs
23,1,7,7,12,130.2,0.486,1.72,0.005,1411,811,-79.2,0.3178,0.39,0.15,4.1,202,14,294.4,2,0,0,98,1010,7,NAD-SFC,NoSubs
23,1,7,7,13,110.8,0.433,1.673,0.006,1525,686,-65.9,0.3178,0.39,0.15,3.6,201,14,294.1,2,0,0,100,1010,8,NAD-SFC,NoSubs
23,1,7,7,14,144.2,0.394,1.91,0.009,1743,595,-38.2,0.3178,0.39,0.15,3.1,206,14,296.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
